week,searchInterest
2012-04-22,100
2012-04-29,44
2012-05-06,29
2012-05-13,0
2012-05-20,29
2012-05-27,29
2012-06-03,57
2012-06-10,0
2012-06-17,0
2012-06-24,0
2012-07-01,29
2012-07-08,58
2012-07-15,0
2012-07-22,0
2012-07-29,29
2012-08-05,0
2012-08-12,29
2012-08-19,0
2012-08-26,0
2012-09-02,0
2012-09-09,41
2012-09-16,0
2012-09-23,0
2012-09-30,0
2012-10-07,0
2012-10-14,0
2012-10-21,26
2012-10-28,0
2012-11-04,26
2012-11-11,0
2012-11-18,0
2012-11-25,0
2012-12-02,0
2012-12-09,25
2012-12-16,0
2012-12-23,0
2012-12-30,0
2013-01-06,0
2013-01-13,0
2013-01-20,0
2013-01-27,23
2013-02-03,0
2013-02-10,24
2013-02-17,0
2013-02-24,0
2013-03-03,46
2013-03-10,23
2013-03-17,46
2013-03-24,24
2013-03-31,23
2013-04-07,23
2013-04-14,0
2013-04-21,23
2013-04-28,0
2013-05-05,23
2013-05-12,0
2013-05-19,0
2013-05-26,0
2013-06-02,0
2013-06-09,0
2013-06-16,0
2013-06-23,0
2013-06-30,24
2013-07-07,24
2013-07-14,0
2013-07-21,36
2013-07-28,0
2013-08-04,24
2013-08-11,35
2013-08-18,0
2013-08-25,23
2013-09-01,23
2013-09-08,22
2013-09-15,0
2013-09-22,33
2013-09-29,0
2013-10-06,0
2013-10-13,0
2013-10-20,21
2013-10-27,22
2013-11-03,0
2013-11-10,0
2013-11-17,63
2013-11-24,53
2013-12-01,21
2013-12-08,0
2013-12-15,22
2013-12-22,0
2013-12-29,0
2014-01-05,42
2014-01-12,0
2014-01-19,20
2014-01-26,61
2014-02-02,21
2014-02-09,60
2014-02-16,30
2014-02-23,20
2014-03-02,61
2014-03-09,20
2014-03-16,30
2014-03-23,0
2014-03-30,20
2014-04-06,20
2014-04-13,21
2014-04-20,21
2014-04-27,0
2014-05-04,0
2014-05-11,0
2014-05-18,21
2014-05-25,22
2014-06-01,34
2014-06-08,0
2014-06-15,45
2014-06-22,0
2014-06-29,46
2014-07-06,23
2014-07-13,23
2014-07-20,0
2014-07-27,23
2014-08-03,24
2014-08-10,45
2014-08-17,0
2014-08-24,22
2014-08-31,32
2014-09-07,0
2014-09-14,0
2014-09-21,21
2014-09-28,0
2014-10-05,21
2014-10-12,0
2014-10-19,21
2014-10-26,0
2014-11-02,20
2014-11-09,20
2014-11-16,0
2014-11-23,20
2014-11-30,20
2014-12-07,0
2014-12-14,0
2014-12-21,0
2014-12-28,22
2015-01-04,20
2015-01-11,19
2015-01-18,48
2015-01-25,0
2015-02-01,0
2015-02-08,19
2015-02-15,0
2015-02-22,19
2015-03-01,19
2015-03-08,0
2015-03-15,19
2015-03-22,0
2015-03-29,0
2015-04-05,19
2015-04-12,19
2015-04-19,0
2015-04-26,0
2015-05-03,19
2015-05-10,0
2015-05-17,0
2015-05-24,0
2015-05-31,19
2015-06-07,0
2015-06-14,0
2015-06-21,0
2015-06-28,19
2015-07-05,0
2015-07-12,0
2015-07-19,20
2015-07-26,0
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,0
2015-09-06,56
2015-09-13,0
2015-09-20,0
2015-09-27,0
2015-10-04,0
2015-10-11,18
2015-10-18,17
2015-10-25,18
2015-11-01,0
2015-11-08,0
2015-11-15,17
2015-11-22,0
2015-11-29,17
2015-12-06,0
2015-12-13,18
2015-12-20,0
2015-12-27,20
2016-01-03,0
2016-01-10,17
2016-01-17,17
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,17
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,33
2016-03-20,0
2016-03-27,17
2016-04-03,0
2016-04-10,0
2016-04-17,16
2016-04-24,0
2016-05-01,0
2016-05-08,16
2016-05-15,0
2016-05-22,17
2016-05-29,0
2016-06-05,16
2016-06-12,17
2016-06-19,34
2016-06-26,0
2016-07-03,0
2016-07-10,17
2016-07-17,0
2016-07-24,0
2016-07-31,17
2016-08-07,0
2016-08-14,17
2016-08-21,17
2016-08-28,16
2016-09-04,16
2016-09-11,16
2016-09-18,0
2016-09-25,0
2016-10-02,16
2016-10-09,16
2016-10-16,15
2016-10-23,0
2016-10-30,0
2016-11-06,15
2016-11-13,15
2016-11-20,0
2016-11-27,15
2016-12-04,15
2016-12-11,39
2016-12-18,24
2016-12-25,17
2017-01-01,0
2017-01-08,15
2017-01-15,15
2017-01-22,15
2017-01-29,0
2017-02-05,0
2017-02-12,22
2017-02-19,15
2017-02-26,0
2017-03-05,14
2017-03-12,0
2017-03-19,0
2017-03-26,22
2017-04-02,0
2017-04-09,16
2017-04-16,0
